Vineyard,Wine,quality,color
East,925,6,white
South,880,5,white
South,1542,5,red
South,1315,8,white
West,76,5,white
South,1130,4,white
East,1276,6,white
South,1083,6,white
West,1286,6,red
West,619,7,red
South,577,6,white
West,587,6,white
North,222,5,white
North,303,5,white
East,192,3,white
East,1551,6,white
West,1444,5,white
East,34,6,white
West,263,6,white
North,1480,5,white
South,711,5,white
West,1629,6,white
East,1000,7,white
East,975,7,white
North,986,5,red
South,1526,7,red
West,739,5,white
North,161,7,white
West,651,6,white
North,827,5,white
West,1092,7,white
North,70,5,white
North,541,7,white
West,413,6,white
West,403,6,white
East,872,7,white
West,1043,6,white
South,1101,5,red
East,1493,6,white
North,1333,6,white
North,59,5,red
South,462,6,red
South,1534,5,white
South,188,4,white
West,74,6,white
South,1270,6,white
East,372,5,white
South,1004,6,white
North,605,5,red
North,214,5,white
East,958,6,white
West,1452,7,white
South,1402,6,white
East,926,5,white
North,561,7,red
East,1507,5,white
North,85,7,red
East,1599,6,white
North,399,6,white
North,1537,7,red
South,287,5,red
West,1373,6,white
East,371,5,white
North,1282,7,red
South,1268,6,white
South,1532,6,white
North,694,6,red
West,548,5,white
North,987,5,white
South,1181,4,red
South,1469,7,white
South,1137,5,red
North,1049,7,white
North,260,5,white
North,718,5,red
East,1217,5,white
South,679,7,white
West,1088,5,white
West,1274,6,red
South,42,8,white
South,1395,6,red
East,1525,6,white
West,1084,5,white
North,742,7,white
North,893,6,white
West,920,6,red
South,1508,6,white
West,500,6,white
North,1508,6,white
South,198,6,red
South,905,7,white
West,159,8,white
South,1241,5,red
West,857,6,white
South,434,6,white
East,220,6,white
North,1618,7,white
East,845,6,white
North,15,5,white
North,962,6,white
South,248,6,white
East,983,5,white
West,199,6,red
North,1576,5,white
South,1191,8,white
East,1621,5,red
South,1235,6,white
North,791,5,white
East,742,5,red
South,1232,6,red
South,1516,8,white
West,1587,5,red
West,398,5,white
North,419,5,white
South,156,6,white
West,392,7,white
North,486,6,red
West,313,8,white
West,1334,7,red
West,1367,6,white
East,729,6,red
North,540,5,white
North,312,4,white
North,597,5,white
West,691,6,white
West,1108,6,red
South,1041,7,white
North,906,7,white
North,881,6,white
North,174,5,red
West,1021,5,white
West,728,5,white
South,1322,5,white
South,415,7,white
North,607,6,white
East,956,5,white
East,623,5,white
South,636,6,white
North,653,8,white
West,957,6,white
North,656,7,white
West,1072,5,red
East,313,6,white
South,886,8,white
East,1617,6,red
West,167,5,red
South,272,5,red
East,349,5,white
East,381,5,red
West,465,6,white
South,1067,5,red
North,616,5,white
South,242,5,white
West,1527,4,white
East,732,5,white
West,1496,5,red
North,346,6,red
West,160,5,red
South,167,6,white
North,677,6,white
West,1172,6,red
South,1159,6,white
East,1060,7,white
North,747,6,white
West,859,6,white
North,941,5,white
West,275,7,white
North,1114,6,red
North,331,6,red
West,489,6,white
East,1506,5,red
North,1430,5,white
East,169,8,white
East,602,5,white
North,950,5,red
North,627,6,white
West,609,5,red
South,278,5,white
South,1572,5,white
West,934,6,white
North,1404,5,red
North,1045,7,white
North,1018,5,white
South,1587,6,white
West,1011,6,white
South,611,5,white
West,1591,5,white
East,318,5,red
South,1040,7,white
West,326,5,white
North,1076,5,white
South,586,7,white
North,1058,7,red
South,1537,5,white
North,258,5,white
South,861,7,white
South,299,6,white
East,885,6,white
North,277,5,white
North,781,6,white
North,588,6,red
South,734,5,white
East,915,6,red
South,656,6,white
North,165,5,white
West,355,5,white
East,734,6,red
West,583,6,red
South,68,5,white
West,1574,6,white
East,1384,6,white
East,1229,5,white
West,761,6,white
East,1159,8,white
West,1067,6,white
South,152,6,white
East,972,6,white
North,1327,6,white
North,39,6,white
East,334,5,white
West,176,9,white
East,1377,6,white
East,1092,5,white
West,1502,5,red
South,1119,6,red
North,1119,5,white
South,1080,8,white
East,1096,5,white
South,1058,6,white
East,398,6,red
East,585,6,white
East,32,6,white
West,945,6,red
West,498,7,red
South,105,6,white
East,759,9,white
South,1186,5,white
North,100,5,white
West,1495,6,red
North,1390,5,red
South,670,5,white
West,1393,5,white
West,597,5,white
South,626,8,white
South,879,6,white
East,1141,6,white
West,1459,5,red
South,1257,6,red
North,1456,6,red
South,452,5,white
East,1168,6,white
South,629,5,white
North,411,7,red
North,1598,6,white
North,997,5,red
West,763,7,red
West,245,6,white
West,25,5,white
West,477,6,white
North,1501,6,white
South,655,6,red
West,1464,5,red
East,1158,5,white
South,1253,5,red
West,142,6,red
North,237,5,white
East,1036,5,white
West,1295,7,white
East,1616,6,red
West,151,6,red
North,6,6,white
South,1505,7,white
North,41,5,white
East,929,5,white
North,248,6,red
North,595,5,white
North,1288,5,red
East,457,5,red
North,1555,5,red
North,1039,5,white
South,505,6,white
West,930,5,white
North,1335,6,red
West,123,8,red
East,341,6,white
East,1334,7,white
North,942,6,white
East,1152,5,white
South,1249,6,white
South,246,6,white
West,1557,5,red
East,368,6,white
West,166,7,white
East,563,7,white
South,954,7,white
West,314,6,red
South,209,6,white
North,446,5,white
South,1305,6,white
West,967,6,white
North,1118,5,red
West,311,6,white
West,1169,5,white
West,561,6,white
East,443,7,red
North,1127,5,red
North,1115,6,red
West,1049,5,white
North,1120,7,white
North,1123,5,red
South,1226,5,red
South,282,6,white
North,636,6,white
West,424,6,white
East,935,7,white
East,1167,5,white
East,1193,6,white
South,236,6,white
North,1155,7,white
West,117,7,red
West,110,7,white
East,1362,6,red
West,602,6,white
North,861,6,red
South,591,6,red
South,690,5,white
East,542,5,red
East,276,6,white
South,1464,5,white
West,453,6,white
South,116,6,white
West,787,7,red
West,378,5,white
North,872,8,red
West,837,7,red
South,885,5,red
West,228,6,white
West,1622,5,white
East,611,5,red
South,732,6,white
East,218,6,white
South,177,8,white
South,777,4,red
East,1579,6,white
North,1597,5,red
East,1249,6,white
North,1507,5,white
South,595,5,red
West,60,7,white
West,1485,7,white
North,429,6,red
North,1189,5,red
South,1056,5,red
South,1092,4,white
North,1603,7,white
West,1241,6,white
West,394,7,white
North,1211,5,white
West,488,5,white
East,909,6,white
West,37,5,red
North,666,6,white
South,1093,6,white
East,838,7,white
North,32,5,white
West,486,8,white
West,1174,7,white
North,882,6,white
West,747,7,white
South,1021,6,red
West,603,6,white
North,856,7,white
East,139,6,red
East,1442,5,white
North,463,6,red
West,146,6,white
West,1424,6,white
North,614,5,red
North,635,5,red
West,1282,7,white
East,1475,7,white
West,1585,5,red
West,988,3,white
North,282,5,white
South,1415,6,red
North,1230,7,white
West,652,6,white
North,465,6,red
South,1439,7,white
North,904,6,white
East,1337,5,white
East,508,5,red
East,735,6,red
North,1596,6,white
North,27,4,white
South,969,6,white
East,176,5,red
West,986,3,red
South,1556,6,white
South,1073,5,white
South,1299,6,white
North,10,7,red
West,36,5,white
North,271,5,white
East,920,5,red
West,1090,4,white
North,374,6,white
East,1485,6,white
South,1188,6,red
North,292,6,white
West,1551,6,red
South,1169,5,white
South,397,6,red
East,1471,6,red
West,1486,7,white
North,1028,8,white
South,476,7,red
West,72,5,white
North,175,6,white
East,91,6,white
North,60,5,white
West,1484,6,white
South,1440,6,red
East,892,5,white
South,353,6,white
West,670,6,white
South,1391,6,white
North,890,5,red
West,1366,7,red
South,1562,5,red
North,1511,7,red
North,1419,6,white
West,1006,5,red
West,481,6,white
South,922,7,white
West,276,5,white
East,1057,6,white
South,768,6,white
East,1072,6,red
West,192,6,white
East,1180,5,white
East,94,6,white
North,873,6,red
West,193,5,white
South,1438,4,white
South,1560,6,red
West,1528,5,white
South,722,7,white
West,634,6,red
South,1263,5,white
South,102,5,white
North,1053,7,white
West,43,5,white
South,1453,6,white
West,1596,5,white
West,1122,6,white
North,554,5,white
West,656,8,white
West,1532,6,white
South,834,8,white
North,117,5,white
West,985,6,white
East,1319,6,white
West,339,5,white
West,401,4,white
West,1063,6,white
North,1235,6,red
North,255,4,white
East,1528,6,white
West,961,6,white
South,435,7,red
North,414,7,white
South,89,5,red
North,507,6,red
North,1130,5,red
North,668,6,red
East,450,5,white
West,1434,7,white
South,1035,7,white
North,1439,6,white
North,1199,6,white
South,919,6,white
North,366,5,white
East,832,7,white
South,1326,4,red
East,21,7,red
North,905,6,white
West,1472,6,white
East,1261,5,white
East,391,6,white
South,1594,5,white
West,1530,6,white
East,1374,6,white
West,1458,8,red
South,907,6,white
North,1514,6,white
West,882,7,white
West,575,6,white
West,1273,7,white
West,574,6,white
West,1593,5,white
North,979,5,white
West,1150,5,red
East,18,5,red
West,813,6,white
North,879,6,white
South,534,6,white
North,1245,5,red
East,1077,5,white
East,289,6,white
West,530,6,white
West,235,5,white
East,1086,5,white
North,673,6,red
West,594,6,red
East,1043,6,white
West,1630,6,white
South,1366,5,white
South,49,6,white
East,629,5,white
South,1185,6,white
East,84,5,red
South,321,7,white
North,1237,6,white
East,113,5,white
West,1117,6,red
South,1266,6,white
South,1290,5,white
West,1133,5,white
East,189,5,red
South,155,7,white
North,916,6,red
West,1091,5,white
East,1255,5,red
West,1024,6,white
South,444,6,white
South,171,5,white
South,182,6,white
East,748,6,white
North,876,5,red
South,212,7,white
East,699,5,white
West,1230,6,white
East,1091,7,white
North,1005,8,white
South,645,7,white
South,417,5,white
East,1203,5,red
North,1066,6,white
East,1350,5,white
North,1310,6,red
South,416,8,white
East,886,5,white
East,503,5,red
West,1312,6,white
South,319,8,white
West,317,8,white
East,565,6,white
East,509,5,white
North,311,6,white
South,760,6,white
South,542,8,white
South,151,6,white
East,1235,6,red
West,1194,6,white
North,351,6,red
North,216,6,red
North,992,5,white
North,746,6,red
North,1202,7,white
South,1421,5,white
West,1255,6,white
North,1405,7,white
South,1618,6,white
South,45,6,red
West,946,5,red
West,1173,5,white
North,915,5,red
South,10,5,white
North,660,6,white
South,1029,6,white
North,1564,6,white
North,167,5,red
East,988,7,white
West,400,5,white
South,78,6,white
East,1103,6,white
South,849,5,red
South,1156,5,red
North,1423,6,red
North,927,8,white
West,1388,5,white
East,1280,6,white
East,1028,5,white
North,57,7,white
North,701,6,white
South,1184,5,white
West,1328,7,white
South,366,5,red
West,585,5,red
South,372,6,white
East,232,5,white
East,1524,5,red
North,1306,5,white
North,1134,6,white
West,1119,6,white
South,847,6,white
South,1548,7,white
North,368,6,white
South,1126,6,white
North,1113,6,white
North,80,5,red
East,1309,5,white
West,296,6,white
South,571,5,red
East,1207,6,red
East,758,5,white
South,73,5,white
West,847,5,red
North,1470,5,white
North,1601,6,white
West,671,6,red
North,928,6,white
West,1400,5,white
West,375,6,white
West,697,6,red
South,204,7,red
South,1017,6,white
East,1564,7,white
South,118,5,white
North,365,7,white
North,778,6,red
East,44,5,white
North,88,4,white
South,1203,6,white
South,1385,5,red
East,444,5,white
West,1423,6,white
East,1561,6,white
West,775,6,red
North,99,5,white
North,1465,4,red
South,874,5,white
East,1172,5,white
North,9,5,white
South,1262,8,white
South,1450,5,white
East,506,6,white
South,259,5,white
North,1558,6,white
South,2,7,white
East,63,5,white
West,1259,5,white
West,58,7,white
South,1422,6,red
East,1315,7,white
West,224,5,red
South,428,7,red
North,1356,6,red
West,127,5,red
North,1285,7,white
South,1065,5,white
East,1266,6,white
West,139,6,white
South,796,4,white
East,1541,4,white
North,638,7,white
West,757,5,white
East,48,6,red
North,947,6,white
North,144,7,red
West,965,7,white
West,1562,6,red
East,827,7,white
East,226,5,white
West,976,7,white
West,633,6,white
North,702,5,white
South,1208,7,red
West,505,6,white
West,1306,7,white
West,840,5,white
South,83,5,white
South,267,5,red
South,307,6,white
East,731,5,red
South,1361,6,red
South,1424,6,white
North,938,5,white
West,1127,6,red
East,1223,5,red
South,703,5,white
West,1358,6,white
South,1255,6,white
West,458,5,white
East,132,6,white
East,1498,6,white
West,422,4,red
South,506,6,white
West,814,5,white
West,1195,7,white
West,1564,7,red
West,1332,6,white
South,261,5,white
North,316,7,white
East,62,6,white
North,74,5,white
North,547,6,red
North,699,7,white
West,357,6,white
West,82,6,white
West,758,6,red
North,1195,6,white
East,938,5,white
South,427,5,white
West,1447,5,white
South,58,7,white
South,947,6,white
South,573,5,white
South,470,6,white
South,1437,6,white
North,1026,6,white
West,173,5,white
North,1567,6,white
North,43,6,white
North,157,7,white
West,870,6,white
South,255,6,white
West,109,7,white
North,682,5,white
West,1389,5,white
South,662,5,white
North,967,5,red
North,64,5,white
West,51,5,white
West,497,7,white
East,658,5,white
North,201,5,white
South,421,6,red
North,1417,5,red
North,119,3,white
East,136,6,red
South,1298,5,white
West,949,7,white
South,133,6,white
North,932,6,white
South,498,8,white
East,786,5,white
South,464,5,white
East,1177,5,white
West,1074,6,red
South,1187,6,white
North,863,6,white
East,158,6,white
West,1279,5,white
South,1495,6,red
East,997,6,white
West,1315,4,white
North,842,6,red
West,240,6,white
West,944,5,white
North,553,5,red
East,1130,6,white
North,192,5,red
West,232,5,white
North,206,5,white
South,1136,5,white
North,795,7,red
South,1549,5,white
East,617,7,red
South,1047,6,white
South,918,5,white
South,966,6,white
West,928,5,white
West,654,4,white
South,450,5,red
East,196,5,white
North,1563,5,white
West,1417,6,white
South,168,6,white
East,107,6,red
North,717,5,white
East,881,8,white
East,1552,6,white
South,1515,6,red
East,254,6,white
South,1278,6,white
South,557,5,white
West,643,6,white
East,146,6,white
South,728,6,red
North,1277,6,red
East,584,5,white
South,1114,5,red
East,209,7,red
South,1498,6,white
West,202,6,white
West,1549,6,red
North,1160,6,white
West,725,5,red
North,1505,5,white
North,1524,7,white
East,1324,6,white
West,588,5,white
North,1300,8,white
West,1415,8,white
South,538,6,white
North,410,7,white
South,5,7,red
East,399,6,white
North,301,7,white
South,1078,6,white
East,535,6,red
South,877,5,red
South,21,4,red
West,516,7,white
South,902,6,white
West,903,5,red
South,910,5,red
East,1360,5,white
East,1089,6,white
North,973,6,white
South,1358,7,white
South,121,5,white
East,93,6,red
South,1389,6,white
West,372,6,red
South,946,5,white
East,1608,6,white
West,1313,5,red
North,92,6,red
North,1201,7,white
North,1217,4,white
West,1186,6,red
East,1605,7,white
South,1611,6,white
North,598,6,white
East,1009,7,white
South,1614,7,white
West,1221,6,white
West,369,7,white
North,805,7,white
East,1433,7,red
West,93,6,white
West,551,6,red
East,1053,6,white
East,41,5,white
South,980,5,white
North,1056,6,red
North,777,5,white
South,1308,5,white
West,702,5,white
East,165,5,red
West,100,6,white
North,1530,6,white
East,1075,5,white
West,1517,5,white
South,1568,5,white
South,1127,5,white
West,105,7,white
South,1621,5,white
West,34,6,white
East,208,6,white
East,833,6,white
North,401,5,red
West,1468,6,white
South,1081,5,red
East,476,5,red
East,365,7,white
South,992,5,white
South,31,6,red
East,1408,5,white
North,1152,6,white
South,1454,6,white
East,1316,5,white
South,556,5,white
North,1073,5,white
West,1258,5,white
East,609,5,red
South,530,6,white
North,850,6,white
West,615,6,white
North,884,6,white
West,601,5,red
North,189,5,white
South,1172,7,white
West,793,5,white
North,451,5,white
East,1019,5,red
South,1320,6,white
South,926,6,white
South,570,6,white
North,650,7,white
South,916,5,white
South,213,5,white
North,191,7,white
West,376,5,white
North,729,7,white
South,473,6,white
South,688,6,red
West,350,5,white
West,960,6,white
North,648,5,white
South,948,4,white
East,76,6,white
East,177,7,white
North,1071,5,red
West,305,6,white
North,818,6,white
North,51,6,red
East,33,5,white
East,746,5,white
West,1034,7,white
East,616,6,white
East,1326,7,red
South,970,5,red
South,500,6,white
North,878,6,red
East,681,6,white
South,292,5,white
East,1527,5,red
East,268,7,white
North,66,5,white
West,767,7,white
South,1558,5,white
North,1355,6,white
North,1385,6,white
West,1600,5,red
East,396,6,white
North,1319,8,white
West,1035,5,white
West,1518,6,white
East,1540,7,white
East,757,6,white
North,1191,6,white
East,992,5,red
South,642,6,white
North,996,5,red
West,143,5,white
North,499,5,red
South,707,7,white
West,565,8,white
East,181,6,white
West,514,7,red
South,1551,5,white
West,789,6,white
West,1233,6,white
East,317,5,red
East,855,8,white
East,1268,7,white
West,1242,4,white
East,1040,6,white
North,218,7,white
West,1508,7,white
South,189,5,white
South,613,6,white
West,623,6,white
South,1089,5,white
South,547,6,red
South,1487,6,red
North,28,5,white
West,773,6,white
South,615,6,white
East,830,7,white
North,464,6,white
West,242,6,white
North,55,6,white
South,1238,7,red
West,1507,6,red
East,1407,6,white
North,1063,6,white
West,373,6,white
West,1489,7,red
North,1368,6,white
North,334,7,red
East,1107,6,white
South,1168,5,white
North,1617,6,red
South,754,6,white
East,1446,6,white
South,1403,5,white
South,1309,5,white
East,502,5,white
East,683,7,white
South,1213,6,red
East,240,6,white
East,914,6,red
West,1337,7,white
West,1418,5,white
South,1046,6,red
East,217,6,white
West,1556,5,white
North,1126,6,white
West,366,6,red
East,865,6,white
South,1251,6,white
South,620,6,red
West,138,5,white
West,1164,6,white
East,183,5,red
North,1299,6,white
East,1423,5,white
South,103,6,white
North,1180,7,red
South,1347,6,white
South,843,4,red
North,38,6,white
West,1382,6,white
West,829,6,white
South,1576,7,white
East,188,6,white
East,357,7,red
South,95,7,white
East,1455,5,white
East,697,7,white
West,624,6,white
South,1533,6,white
West,1490,5,white
East,1395,6,red
North,902,7,white
East,1397,6,red
West,808,6,white
South,574,5,red
North,127,5,red
South,488,6,white
West,1249,4,white
South,290,6,red
South,92,5,red
North,193,5,white
North,1225,6,red
West,771,6,white
East,716,5,white
West,546,7,white
North,1074,6,white
South,987,5,white
East,1263,5,white
East,496,6,white
West,1455,7,white
North,1213,6,white
South,1612,5,red
West,1590,6,white
North,1200,7,red
West,1292,6,red
North,147,7,white
West,1311,6,white
West,720,6,white
South,343,7,white
North,817,6,white
South,1363,6,white
East,469,6,red
South,363,7,white
South,536,6,white
West,908,6,white
West,529,7,red
West,1470,6,white
North,406,6,white
West,1187,6,white
East,1537,6,white
West,810,6,white
South,349,5,white
East,1452,7,white
East,1545,5,red
West,1181,6,white
West,1065,6,white
North,1003,6,red
East,888,6,white
North,340,6,white
South,873,5,red
North,1320,7,white
East,1614,6,white
West,438,5,white
North,358,6,white
West,1140,5,white
East,603,7,red
North,1090,4,white
South,429,6,white
East,890,5,white
East,1137,6,white
East,537,7,white
South,233,5,white
East,384,8,white
East,1418,6,white
East,690,7,white
West,693,7,white
North,1406,5,red
South,1378,6,white
West,850,5,white
East,210,5,white
West,576,7,red
South,1593,7,white
East,219,6,white
East,1330,5,red
North,1099,5,white
North,726,7,white
East,1613,6,white
East,460,6,red
South,1217,5,white
South,821,6,white
East,1123,5,white
North,689,5,red
North,1014,5,white
East,1214,6,white
South,773,5,white
North,1149,5,red
East,745,5,white
North,1264,6,red
West,677,6,red
North,221,4,white
West,338,6,red
East,175,7,white
West,1257,5,white
South,440,6,white
South,672,7,red
West,416,7,white
South,1286,4,red
South,1222,6,red
South,844,6,white
North,306,5,white
South,1435,5,white
West,1584,7,red
East,1416,5,white
West,779,5,white
South,1306,8,white
North,711,6,white
East,1055,5,red
West,887,6,white
South,1456,5,white
West,1535,8,white
West,1553,5,white
South,91,5,red
North,369,5,white
North,405,6,white
South,1307,6,white
West,300,5,white
South,658,6,red
East,1488,6,white
South,1384,7,white
South,1619,5,white
West,786,6,white
West,1004,5,white
South,938,5,red
South,137,4,white
South,942,5,red
North,1125,6,white
West,1427,7,white
North,253,4,white
North,1101,6,red
South,451,7,red
South,1563,7,white
East,1489,5,white
North,562,6,red
North,875,5,white
West,131,6,red
East,991,4,white
North,467,5,white
North,21,5,red
South,1607,6,white
North,596,5,red
East,1044,6,white
West,1614,5,white
West,285,6,white
North,199,5,red
South,1329,5,red
West,64,6,red
South,864,6,white
West,1262,6,white
East,969,8,white
South,117,6,red
South,239,6,white
North,164,6,white
South,619,4,red
South,1445,6,white
East,1281,6,white
South,438,6,white
South,955,6,red
West,308,7,white
East,686,7,white
West,182,4,white
South,220,5,red
West,179,7,white
South,518,6,white
South,1003,5,white
North,1295,5,white
East,670,6,white
South,533,7,white
West,825,5,white
South,1141,6,white
North,53,7,red
West,1572,6,white
North,471,6,white
North,78,5,white
South,1407,5,red
South,374,6,red
West,511,6,red
West,733,6,white
West,147,5,red
South,607,7,red
West,165,6,white
West,923,6,red
West,284,6,red
East,778,6,white
West,952,6,red
West,1218,6,white
East,1600,6,white
South,26,5,white
North,764,5,white
West,1052,7,white
North,1540,7,white
North,326,5,white
North,1203,7,white
East,841,7,white
West,1232,8,white
East,1188,7,white
East,831,6,red
East,1335,8,white
South,781,5,white
East,1273,7,white
North,79,5,white
South,218,5,white
South,280,5,white
East,245,6,red
West,1428,5,red
West,1522,5,red
South,979,6,white
South,432,6,white
South,757,8,white
North,619,4,red
North,447,5,white
North,169,5,white
West,1054,5,white
South,1601,5,white
East,678,5,white
East,224,7,red
West,322,7,white
West,845,6,white
West,504,6,white
West,1196,7,white
West,1601,6,white
North,918,6,red
East,561,6,white
East,1079,6,white
West,13,6,white
West,1044,4,red
East,952,6,red
North,854,6,white
North,305,5,white
South,206,6,white
North,896,5,white
West,239,7,white
East,1216,5,red
South,1399,5,white
South,1196,5,red
East,1240,6,white
West,830,6,white
North,472,6,white
East,898,6,white
West,717,6,white
North,61,4,white
West,1281,7,red
East,1222,5,white
West,221,6,white
West,44,5,white
West,431,6,white
South,723,5,red
South,833,7,white
West,1356,6,red
West,1300,7,white
North,1012,8,white
West,694,5,white
East,1308,6,white
North,148,5,white
East,934,6,white
South,222,6,white
East,1093,8,white
East,361,6,red
North,130,6,white
South,1567,6,white
West,1395,4,red
South,806,8,white
South,1062,6,white
East,1006,4,white
South,1404,8,white
East,851,6,white
North,1157,6,white
West,1050,4,white
East,531,6,white
North,256,6,red
West,746,6,white
West,247,5,white
North,755,4,white
West,558,4,red
East,1327,4,red
West,73,6,white
South,522,7,white
North,687,6,white
West,1095,6,red
South,1165,5,white
South,605,5,red
West,858,6,white
North,1124,6,white
West,751,6,white
East,233,6,white
North,62,7,red
West,736,5,white
West,512,7,red
South,1237,5,white
South,165,5,white
West,712,5,white
South,1166,6,white
South,539,7,white
South,1,7,white
West,1180,6,white
West,353,6,white
South,770,5,white
West,527,7,white
East,414,5,white
North,257,5,red
North,593,6,white
East,801,4,white
North,396,5,red
South,1588,5,white
North,797,6,white
East,514,7,white
South,355,5,white
South,717,6,white
West,538,7,white
East,942,6,white
South,1275,5,red
North,1592,6,white
East,984,7,red
South,731,5,white
East,1288,6,white
South,563,5,white
West,547,4,white
South,6,5,white
South,1574,5,white
East,1105,9,white
West,648,6,red
North,1270,6,white
West,1599,7,white
South,1276,5,red
West,1341,5,white
East,153,5,red
East,1119,4,red
East,1176,5,white
East,494,8,white
South,408,5,white
West,1403,5,white
North,704,4,white
East,782,4,red
North,970,6,white
North,1610,7,white
East,275,5,white
South,726,6,white
East,1592,6,red
South,87,5,red
West,16,7,white
West,683,5,white
East,466,7,red
North,1600,6,white
East,1349,6,red
South,989,7,red
West,883,5,red
North,1206,5,white
North,887,5,white
North,1198,7,white
West,436,7,white
North,397,6,white
East,123,8,red
East,27,6,white
West,1135,5,white
North,659,6,white
East,1393,5,white
South,787,6,white
West,584,5,white
West,1278,4,white
South,702,8,red
South,632,6,white
East,427,5,white
West,708,5,red
South,823,7,white
East,1059,6,white
South,1370,5,white
North,784,7,white
East,904,6,white
North,1455,5,red
North,110,6,white
South,185,6,white
West,1625,5,red
West,288,5,red
North,931,6,white
North,988,7,white
East,380,5,white
East,713,6,white
East,730,5,white
South,17,5,white
East,640,5,white
South,1149,6,white
South,890,6,white
West,280,5,red
South,67,6,white
North,760,5,white
East,119,6,white
South,887,6,white
South,727,5,white
East,1535,6,white
East,356,6,white
West,274,6,white
East,1484,5,white
North,239,6,red
North,858,7,white
North,496,6,white
North,1256,6,white
North,690,4,white
North,1351,5,white
West,632,6,white
East,465,5,red
South,935,6,white
North,104,4,white
North,1177,5,red
West,528,6,white
East,71,6,red
West,473,5,white
West,417,6,red
West,592,6,red
West,764,6,red
West,1178,4,red
North,679,4,red
West,1498,6,white
West,112,6,white
South,854,5,white
North,345,5,white
East,819,5,white
East,577,6,white
West,1151,5,white
East,1021,6,white
North,834,7,white
West,559,6,white
East,1367,5,red
North,1615,5,red
East,1313,6,red
South,637,7,white
East,446,6,red
North,1483,5,white
South,870,7,red
South,1623,6,white
North,1519,5,red
West,208,6,white
East,1113,4,red
West,951,6,white
East,1464,6,white
South,1353,6,white
West,506,6,white
South,1221,4,white
North,1030,6,white
North,1387,6,white
East,1224,6,white
South,1293,5,white
North,177,5,white
West,409,6,red
North,498,6,red
North,1516,8,white
West,425,6,white
East,1363,6,white
North,349,6,white
West,391,5,white
North,1097,6,white
South,929,6,red
West,980,6,white
West,443,6,white
South,93,6,white
East,409,6,white
South,1198,6,white
East,426,5,white
North,1492,6,white
North,367,7,white
West,1116,6,red
East,1076,6,red
North,1403,5,white
North,1446,6,red
North,933,7,white
North,1242,6,red
West,267,7,white
West,1426,5,red
South,38,7,white
North,981,6,white
West,55,5,red
South,459,6,white
East,671,6,white
East,306,5,white
North,794,6,white
West,1619,6,white
South,960,8,white
East,299,5,red
West,991,5,red
South,1595,7,white
North,1259,7,white
East,719,5,white
West,196,6,white
South,1591,4,white
North,1223,6,white
West,451,6,white
East,55,6,white
North,631,7,red
South,456,6,white
South,1140,6,white
East,840,5,white
North,1000,6,red
North,865,8,white
East,1109,5,white
North,966,5,white
East,973,6,red
East,486,5,white
West,440,6,white
West,15,6,white
South,1628,7,white
South,1444,5,red
East,1293,6,red
West,446,5,white
West,140,5,red
East,382,5,white
South,350,6,white
West,537,6,red
West,874,6,white
West,745,6,white
South,1069,6,white
South,815,3,red
West,1266,6,white
North,1500,5,red
North,455,5,white
South,675,7,white
South,1231,6,red
South,1615,5,white
North,1173,6,white
East,1080,6,white
North,1389,6,white
East,868,7,white
East,262,7,white
East,1183,5,white
East,566,5,white
North,1068,7,white
East,588,7,red
North,641,5,red
North,118,5,white
East,129,7,white
South,179,7,white
North,16,5,white
West,772,7,white
West,1506,7,white
West,323,6,white
West,718,5,white
East,1438,6,white
East,808,7,white
South,705,6,white
North,813,6,white
South,373,6,red
East,1027,6,white
North,194,4,white
South,1227,5,white
East,606,5,red
North,664,5,red
South,465,5,white
East,727,4,white
East,279,6,white
North,482,5,red
West,1409,5,white
West,95,5,red
South,1153,7,white
North,1352,8,white
South,1543,8,white
North,998,7,white
South,27,5,white
South,835,6,white
South,474,4,white
North,1052,7,white
North,1121,5,white
East,1399,5,white
North,131,6,white
North,295,5,white
East,442,5,red
West,1369,5,white
South,794,6,white
South,1271,6,red
North,1408,5,white
South,735,7,white
South,1356,6,red
North,1287,4,white
South,985,6,white
West,408,6,white
South,52,6,white
East,1560,6,red
East,1396,5,white
South,39,5,white
West,795,5,white
South,1242,5,red
East,108,4,white
South,203,7,white
South,279,6,white
South,1401,5,white
East,1,6,white
East,826,6,red
South,524,5,white
West,792,5,white
East,1290,6,red
East,922,6,white
West,867,7,white
East,1583,4,red
West,124,5,red
North,1602,5,red
North,1137,6,white
West,958,6,white
East,576,6,white
North,133,6,red
South,677,6,white
North,232,6,white
North,1497,5,white
South,712,5,white
East,65,6,white
East,1320,5,white
West,494,5,white
East,894,5,white
West,1626,8,white
South,391,6,red
West,828,6,white
South,850,7,white
East,849,5,white
North,1561,5,white
North,1008,6,white
North,1291,5,white
East,945,7,white
East,513,6,red
East,772,6,white
West,1449,6,white
West,1519,6,white
West,1628,6,white
West,1123,6,white
West,210,6,white
West,799,7,white
North,654,8,red
South,612,6,red
West,1504,6,white
South,852,7,white
North,688,5,red
North,814,7,white
West,125,7,white
South,1023,5,white
East,522,5,red
West,345,3,white
South,1205,5,red
South,1627,5,white
East,388,7,white
East,1233,6,white
East,1127,7,white
West,1136,5,white
North,360,6,white
North,983,6,white
East,875,4,white
West,1429,6,white
West,690,5,red
West,1314,7,white
South,572,6,white
East,1298,5,white
South,792,6,white
East,1469,5,white
West,215,5,red
East,305,6,white
