Vineyard,Wine,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
South,584,6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.89333333
North,210,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2
North,919,6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5
South,82,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5
South,55,7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2
East,820,7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3
North,225,6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4
North,106,7,0.24,0.35,1,0.032,42,104,0.98988,3.16,0.37,11.7
North,4,5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4
North,227,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4
North,516,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9
East,578,6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2
North,1022,6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6
East,222,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2
South,894,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6
East,1187,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3
West,898,7,0.3,0.32,6.4,0.034,28,97,0.9924,3.23,0.44,11.8
North,1260,10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10
West,1364,7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8
South,1229,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4
North,1129,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1
East,703,4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8
East,417,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9
North,1604,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5
South,1070,5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7
East,286,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9
West,1237,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2
West,363,6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4
West,1171,8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10
North,521,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1
North,1556,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10
East,109,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4
West,289,9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4
North,1257,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2
East,1238,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11
North,490,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2
East,1303,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5
East,947,6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6
South,1566,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8
West,243,6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5
East,297,8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6
South,1507,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5
East,523,8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.46666667
North,1184,5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2
East,921,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2
East,404,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5
North,1303,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7
North,796,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6
West,168,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3
South,1071,6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6
West,406,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4
East,884,7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5
South,1332,6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9
East,281,6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2
North,782,5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9
North,583,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4
North,1156,6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13
West,299,6.7,0.28,0.42,3.5,0.035,43,105,0.99021,3.18,0.38,12.2
West,1299,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4
South,1604,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8
South,804,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9
West,716,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8
North,105,6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3
West,1308,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2
East,1287,6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11
South,1342,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6
North,1004,9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1
West,974,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5
South,878,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3
East,682,6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9
South,1478,6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2
West,244,6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8
South,486,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12
West,11,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7
East,547,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6
South,1346,6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6
North,1523,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4
South,24,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2
North,363,5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4
East,1122,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10
East,1208,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3
North,1386,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8
North,786,6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4
West,600,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3
North,359,6.8,0.22,0.3,10.6,0.07,67,194,0.99654,2.89,0.42,9
North,971,6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9
South,1368,7.4,0.36,0.32,1.9,0.036,27,119,0.99196,3.15,0.49,11.2
West,1106,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4
North,1138,6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4
South,911,7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7
North,1002,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9
East,1312,6.5,0.33,0.38,8.3,0.048,68,174,0.99492,3.14,0.5,9.6
West,121,5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6
East,234,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5
East,812,10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4
South,250,7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7
West,1235,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3
East,903,9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6
East,287,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2
West,1198,6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4
West,356,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1
North,735,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4
North,698,6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5
West,552,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1
West,590,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12
South,1408,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8
East,1373,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7
South,338,6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10
East,291,8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9
South,1420,5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4
West,756,7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7
West,666,5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6
West,997,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11
West,1355,6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4
North,1397,6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8
South,400,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6
North,179,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9
West,732,5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11
East,1243,6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4
South,1200,6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1
South,602,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9
North,302,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3
North,738,6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1
North,800,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4
West,1109,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3
North,435,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7
West,507,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
East,1145,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11
East,1453,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2
North,1506,8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1
South,125,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9
North,537,7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1
East,1461,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2
South,431,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9
East,953,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2
West,252,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6
West,370,6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1
East,35,6.8,0.23,0.3,6.95,0.044,42,179,0.9946,3.25,0.56,10.6
North,1402,7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3
North,1043,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2
East,1136,7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5
East,1413,7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1
South,449,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3
West,389,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7
North,769,6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5
South,1312,8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6
South,1148,5.8,0.3,0.09,6.3,0.042,36,138,0.99382,3.15,0.48,9.7
West,816,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9
South,1352,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5
North,776,6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7
South,304,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2
East,507,8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9
North,1163,7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5
West,1370,6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1
North,806,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3
West,571,6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7
West,195,7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2
North,444,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2
North,559,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10
South,559,6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11
East,161,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8
North,307,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3
West,1371,6.3,0.27,0.46,11.1,0.053,44,177,0.99691,3.18,0.67,9.4
South,797,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1
North,803,8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9
South,455,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9
North,1379,7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3
East,164,6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5
South,998,5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5
West,1379,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10
North,910,7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4
South,599,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8
North,584,6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6
West,981,7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5
North,1331,6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45
North,732,6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1
South,1429,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6
North,390,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4
West,1219,8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1
East,630,6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6
East,1596,8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7
East,1538,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9
East,247,6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6
East,1066,7.6,0.4,0.27,5.2,0.03,32,101,0.99172,3.22,0.62,12.3
West,393,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2
North,383,8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3
South,900,6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5
East,839,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4
East,1406,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9
West,1053,6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6
West,1061,5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11
West,47,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
East,458,8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2
East,249,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8
South,1484,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9
East,1531,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5
South,685,7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8
South,425,7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8
West,333,9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4
South,112,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12
West,1354,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9
West,774,6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4
East,383,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9
East,701,7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12
North,1283,6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7
South,331,7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9
North,1373,6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6
West,190,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3
North,371,7.4,0.25,0.37,6.9,0.02,14,93,0.9939,3,0.48,10.7
West,851,6.9,0.58,0.58,8.2,0.032,29,169,0.99275,3.28,0.44,12.2
North,695,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1
West,385,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9
South,1375,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10
South,1524,6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3
North,73,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9
North,714,7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8
South,718,6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8
West,649,6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9
North,783,8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3
West,334,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1
South,1125,12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9
East,957,7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4
North,1262,7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7
East,1294,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9
West,1202,8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9
West,24,6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6
South,412,7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4
South,109,6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3
South,516,11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3
North,1186,7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7
South,65,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4
West,876,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1
East,406,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9
North,529,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7
South,159,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5
West,596,6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5
South,1411,9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2
North,869,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9
West,1305,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7
South,585,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3
West,1148,8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8
South,761,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2
North,1554,7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2
West,415,9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1
West,1386,10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9
North,385,7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2
East,1422,6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4
South,700,7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5
East,1417,7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2
West,254,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
North,678,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1
East,1347,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2
South,1467,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5
West,818,9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8
West,1293,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2
North,590,6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4
South,594,7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11
North,749,7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9
West,432,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5
North,1036,6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15
East,1246,5.7,0.22,0.33,1.9,0.036,37,110,0.98945,3.26,0.58,12.4
North,1496,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5
South,1250,5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3
West,836,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4
West,909,6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2
West,566,6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1
North,645,6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9
East,1038,6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4
East,968,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3
South,513,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12
East,1358,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6
East,828,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4
North,1096,9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5
North,871,7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9
South,134,6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5
East,423,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13
North,649,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5
South,863,8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7
West,1190,6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6
South,1274,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12
North,1550,6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8
North,1193,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5
North,633,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6
South,153,10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2
East,1101,7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9
West,1430,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9
South,389,6.5,0.2,0.31,2.1,0.033,32,95,0.989435,2.96,0.61,12
East,197,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4
South,676,6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9
East,1275,6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9
East,1518,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5
South,1301,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6
North,1407,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3
East,300,6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9
North,209,6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6
East,976,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13
West,1310,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9
North,1023,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9
East,607,5.8,0.345,0.15,10.8,0.033,26,120,0.99494,3.25,0.49,10
West,822,7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1
South,921,7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10
North,740,6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7
West,1384,6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5
North,1172,7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4
South,1228,7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7
North,1146,7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.43333333
West,384,7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2
North,372,5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3
South,383,7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7
South,303,9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5
East,877,7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4
West,1375,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9
East,1125,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4
